nombre,dirección,localidad,upz,entidad_administradora,carácter,uso_principal
Centro Musical La Gaitana,TV 126 133 32,Suba,Tibabuyes,FUNDACIÓN NACIONAL BATUTA,Público,Centro Cultural y Artístico
Academia Colombiana De La Lengua,AK 3 17 23,Santa Fe,Las Nieves,ACADEMIA COLOMBIANA DE LA LENGUA - JAIME POZADA DIAZ,Privado,Centro Cultural y Artístico
Parque Zonal La Amistad,KR 78J 41 10 SUR,Kennedy,Kennedy Central,INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE -IDRD,Público,Centro Cultural y Artístico
Fundación Casa De Poesía  Silva,CL 12C 3 41,Candelaria,La Candelaria,FUNDACIÓN CASA DE POESÍA SILVA,Público,Centro Cultural y Artístico
Fundación Cultural Chiminigagua,KR 80K 72 45 SUR,Bosa,Bosa Central,COORPORACION CODDIARCUPOP,Privado,Centro Cultural y Artístico
Casa De La Cultura Asojuvenil,CL 66 SUR 18U 19,Ciudad Bolívar,Lucero,ASOCIACIÓN JUVENTUDES COMPARTIR ASOJUVENIL,Privado,Centro Cultural y Artístico
Asociación Cultural Muro De Espuma,KR 16A 155A 32,Usaquén,San Cristobal Norte,ASOCIACIÓN CULTURAL MURO DE ESPUMA,Privado,Centro Cultural y Artístico
Centro Cultural Nariño 2,KR 24G 20 60 SUR,Antonio Nariño,Restrepo,FUNDACIÓN MUSEOS DEL CUERO Y DE LOS AÑOS 40,Privado,Centro Cultural y Artístico
Centro Cultural Asociación De Vecinos Granja De San Pablo,KR 12J 33 26,Rafael Uribe Uribe,Marco Fidel Suarez,CENTRO CULTURAL ASOCIACIÓN DE VECINOS GRANJA DE SAN PABLO,Privado,Centro Cultural y Artístico
Sala De Conciertos De La Fundación Orquesta Sinfonica Juvenil Foscj,KR 16 49 52,Teusaquillo,Galerias,FUNDACIÓN ORQUESTA SINFÓNICA JUVENIL,Mixto,Centro Cultural y Artístico
Museo De Arte Contemporaneo Y Teatro Minuto De Dios,KR 74 82 A 81,Engativá,Minuto De Dios,CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS-UNIMINUTO,Privado,Centro Cultural y Artístico
