mes,localidad,upz,punto,direccion,jornada,#_actividades,participanteshombres,participantesmujeres,total
ENERO,Bosa,El Porvenir,SALON COMUNAL ENTRE PARQUES,Cl. 51 Sur #92a,Manzanas del Ciudado,16,21,98,119
ENERO,Bosa,El Porvenir,CENTRO DE DESARROLLO COMUNITARIO EL PORVENIR,CRA 100 # 52 - 24,Manzanas del Ciudado,113,160,3389,3549
ENERO,Bosa,Bosa Central,SALON COMUNAL BOSA LA PALESTINA,CALLE 69 SUR # 81A - 2,Manzanas del Ciudado,33,72,770,842
ENERO,Bosa,Tintal Sur,SALON COMUNAL CAMPANO,CL. 61A SUR # 98C-33,Manzanas del Ciudado,16,34,150,184
ENERO,Bosa,Tintal Sur,PARQUE ZONAL ACAMPO VERDE,CL. 85 SUR #92-85,Manzanas del Ciudado,76,107,1843,1950
ENERO,Bosa,Tintal Sur,PARQUE URBANIZACION SANTIAGO DE ATALAYAS,CARRERA 93D N 59B 00 SUR,Manzanas del Ciudado,26,14,587,601
ENERO,Bosa,Tintal Sur,PARQUE URBANIZACION SANTIAGO DE ATALAYAS,CARRERA 93D N 59B 00 SUR,Persona Mayor,16,76,810,886
ENERO,Bosa,Bosa Central,PARQUE EL GUSANITO,Cl. 68 Bis Sur #80k-70,Manzanas del Ciudado,15,0,176,176
ENERO,Bosa,Bosa Central,Salon comunal Nueva Granada I sector,Calle 70 A Bis A sur No 77 L - 06,Manzanas del Ciudado,14,20,170,190
ENERO,Bosa,El Porvenir,SALON COMUNAL VILLA ANDREA,CALLE 51CS #82 A-09,Manzanas del Ciudado,33,79,1348,1427
ENERO,Bosa,Bosa Central,SALON COMUNAL BOSA LAURELES III,CRA. 81 #75 SUR-2 A 75,Manzanas del Ciudado,35,172,1636,1808
ENERO,Bosa,El Porvenir,PARQUE ATALAYAS II SECTOR,CL. 61A SUR # 98C-33,Manzanas del Ciudado,52,150,2482,2632
ENERO,Bosa,Bosa Occidental,PARQUE DESARROLLO LA CONCEPCION,ENTRE CARRERA 100C 105B Y TRANSVERSAL 100D CARRERA 106 CON EL COSTADO OCCIDENTAL DE LA CALLE 68A SUR,Persona Mayor,18,69,567,636
ENERO,Bosa,El Porvenir,SANTA FE,CALLE 54 C SUR # 87 J 16,Persona Mayor,17,59,488,547
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Recreovia Entre Semana,26,42,721,763
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Gimnasios Nocturnos,27,43,197,240
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Persona Mayor,10,21,99,120
ENERO,Bosa,Bosa Central,PARQUE NARANJOS,CALLE 70 F S N 80 J 50,Recreovia Fin de Semana,30,96,434,530
ENERO,Bosa,Apogeo,PARQUE VILLA DEL RIO,CALLE 56A SUR CON 85,Gimnasios Nocturnos,21,6,33,39
ENERO,Bosa,Tintal Sur,SALON COMUNAL ALCAPARRO,CALLE 80 BIS SUR # 94-21,Manzanas del Ciudado,21,28,366,394
ENERO,Bosa,Bosa Occidental,SALON COMUNAL EUCALIPTO,Cl. 85 Sur #92-85,Manzanas del Ciudado,16,8,142,150
ENERO,Bosa,Bosa Central,SALON COMUNAL HUMBERTO VALENCIA,"Cra. 81f #71-33, Bogotá",Manzanas del Ciudado,18,9,181,190
ENERO,Bosa,El Porvenir,JUNTA DE ACCION COMUNAL EL RECUERDO,CALLE 58 SUR # 106-21,Manzanas del Ciudado,24,14,376,390
ENERO,Bosa,Bosa Central,PARQUE URBANIZACION LA ACUARELA,CALLE 62 SUR CON CARRERA 78A COSTADO SURORIENTAL,Gimnasios Nocturnos,26,10,188,198
ENERO,Bosa,Bosa Occidental,PARQUE DESARROLLO BOSA NOVA,ENTRE CARRERA 99 Y 100 CCON CALLES 59B SUR Y 59C SUR,Persona Mayor,10,51,434,485
ENERO,Bosa,Bosa Central,"PARQUE DESAROLLO JOSE ANTONIO GALAN, VILLA NHORA",CALLE 58M SUR CON CARRERA 78M COSTADO SURORIENTAL,Persona Mayor,11,31,309,340
ENERO,Bosa,Bosa Central,PARQUE PIAMONTE,CALLE 68A SUR # 80H - 44,Persona Mayor,10,40,255,295
ENERO,Bosa,Apogeo,PARQUE URBANIZACION OLARTE,CALLE 53A SUR # 72,Persona Mayor,16,115,707,822
ENERO,Bosa,Bosa Central,PARQUE LA AZUCENA,CARRERA 78A # 67G - 46,Persona Mayor,11,28,187,215
ENERO,Bosa,Bosa Occidental,PARQUE URBANIZACION LA ESPERANZA,CARRERA 77L N 7850 SUR,Cross Hit,54,210,1459,1669
