localidad_clean,anio,suicidios,ideaciones,spa,localidad,poblacion,oferta_deporte,oferta_cultura,tasa_suicidios,tasa_ideaciones,tasa_spa,tasa_oferta_deporte,tasa_oferta_cultura
sumapaz,2012,0.0,7.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,189.44519621109606,0.0,0.0,0.0
sumapaz,2013,0.0,24.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,649.5263870094723,0.0,0.0,0.0
sumapaz,2014,0.0,29.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,784.8443843031123,0.0,0.0,0.0
sumapaz,2015,0.0,17.0,1.0,Sumapaz,3695.0,0.0,0.0,0.0,460.08119079837616,27.063599458728014,0.0,0.0
sumapaz,2016,0.0,22.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,595.3991880920162,0.0,0.0,0.0
sumapaz,2017,0.0,13.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,351.82679296346413,0.0,0.0,0.0
sumapaz,2018,0.0,25.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,676.5899864682003,0.0,0.0,0.0
sumapaz,2019,0.0,29.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,784.8443843031123,0.0,0.0,0.0
sumapaz,2020,0.0,15.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,405.95399188092017,0.0,0.0,0.0
sumapaz,2021,1.0,14.0,1.0,Sumapaz,3695.0,0.0,0.0,27.063599458728014,378.8903924221921,27.063599458728014,0.0,0.0
sumapaz,2022,1.0,8.0,1.0,Sumapaz,3695.0,0.0,0.0,27.063599458728014,216.5087956698241,27.063599458728014,0.0,0.0
sumapaz,2023,0.0,18.0,1.0,Sumapaz,3695.0,0.0,0.0,0.0,487.1447902571042,27.063599458728014,0.0,0.0
sumapaz,2024,0.0,17.0,1.0,Sumapaz,3695.0,0.0,0.0,0.0,460.08119079837616,27.063599458728014,0.0,0.0
sumapaz,2025,0.0,1.0,0.0,Sumapaz,3695.0,0.0,0.0,0.0,27.063599458728014,0.0,0.0,0.0
